map_id,trip durations,trip lengths
instances\map3\map3_10_0.txt,269,265
instances\map3\map3_10_1.txt,272,263
instances\map3\map3_10_10.txt,280,271
instances\map3\map3_10_11.txt,275,267
instances\map3\map3_10_12.txt,999999
instances\map3\map3_10_13.txt,274,265
instances\map3\map3_10_14.txt,274,265
instances\map3\map3_10_15.txt,274,270
instances\map3\map3_10_16.txt,267,264
instances\map3\map3_10_17.txt,268,261
instances\map3\map3_10_18.txt,280,275
instances\map3\map3_10_19.txt,999999
instances\map3\map3_10_2.txt,271,265
instances\map3\map3_10_20.txt,268,266
instances\map3\map3_10_21.txt,269,265
instances\map3\map3_10_22.txt,289,285
instances\map3\map3_10_23.txt,272,270
instances\map3\map3_10_24.txt,277,271
instances\map3\map3_10_25.txt,270,262
instances\map3\map3_10_26.txt,999999
instances\map3\map3_10_27.txt,274,269
instances\map3\map3_10_28.txt,270,264
instances\map3\map3_10_29.txt,274,266
instances\map3\map3_10_3.txt,999999
instances\map3\map3_10_30.txt,266,262
instances\map3\map3_10_31.txt,275,269
instances\map3\map3_10_32.txt,278,268
instances\map3\map3_10_33.txt,267,260
instances\map3\map3_10_34.txt,270,267
instances\map3\map3_10_35.txt,281,272
instances\map3\map3_10_36.txt,265,258
instances\map3\map3_10_37.txt,273,270
instances\map3\map3_10_38.txt,266,254
instances\map3\map3_10_39.txt,274,268
instances\map3\map3_10_4.txt,270,265
instances\map3\map3_10_40.txt,269,266
instances\map3\map3_10_41.txt,270,264
instances\map3\map3_10_42.txt,271,267
instances\map3\map3_10_43.txt,271,267
instances\map3\map3_10_44.txt,271,264
instances\map3\map3_10_45.txt,271,267
instances\map3\map3_10_46.txt,274,261
instances\map3\map3_10_47.txt,274,262
instances\map3\map3_10_48.txt,268,259
instances\map3\map3_10_49.txt,262,257
instances\map3\map3_10_5.txt,271,267
instances\map3\map3_10_50.txt,268,265
instances\map3\map3_10_51.txt,277,268
instances\map3\map3_10_52.txt,278,272
instances\map3\map3_10_53.txt,276,269
instances\map3\map3_10_54.txt,264,261
instances\map3\map3_10_55.txt,276,274
instances\map3\map3_10_56.txt,999999
instances\map3\map3_10_57.txt,278,270
instances\map3\map3_10_58.txt,275,268
instances\map3\map3_10_59.txt,270,267
instances\map3\map3_10_6.txt,271,265
instances\map3\map3_10_60.txt,280,271
instances\map3\map3_10_61.txt,273,265
instances\map3\map3_10_62.txt,275,268
instances\map3\map3_10_63.txt,274,268
instances\map3\map3_10_64.txt,269,263
instances\map3\map3_10_65.txt,285,277
instances\map3\map3_10_66.txt,261,256
instances\map3\map3_10_67.txt,999999
instances\map3\map3_10_68.txt,281,274
instances\map3\map3_10_69.txt,277,274
instances\map3\map3_10_7.txt,999999
instances\map3\map3_10_70.txt,267,264
instances\map3\map3_10_71.txt,273,267
instances\map3\map3_10_72.txt,268,260
instances\map3\map3_10_73.txt,273,266
instances\map3\map3_10_74.txt,278,271
instances\map3\map3_10_8.txt,269,266
instances\map3\map3_10_9.txt,268,264
instances\map3\map3_14_0.txt,377,366
instances\map3\map3_14_1.txt,380,371
instances\map3\map3_14_10.txt,397,381
instances\map3\map3_14_11.txt,396,379
instances\map3\map3_14_12.txt,386,378
instances\map3\map3_14_13.txt,999999
instances\map3\map3_14_14.txt,999999
instances\map3\map3_14_15.txt,396,378
instances\map3\map3_14_16.txt,398,386
instances\map3\map3_14_17.txt,378,372
instances\map3\map3_14_18.txt,392,375
instances\map3\map3_14_19.txt,398,384
instances\map3\map3_14_2.txt,400,392
instances\map3\map3_14_20.txt,380,370
instances\map3\map3_14_21.txt,999999
instances\map3\map3_14_22.txt,399,385
instances\map3\map3_14_23.txt,999999
instances\map3\map3_14_24.txt,999999
instances\map3\map3_14_25.txt,999999
instances\map3\map3_14_26.txt,394,382
instances\map3\map3_14_27.txt,999999
instances\map3\map3_14_28.txt,385,375
instances\map3\map3_14_29.txt,999999
instances\map3\map3_14_3.txt,374,362
instances\map3\map3_14_30.txt,999999
instances\map3\map3_14_31.txt,390,381
instances\map3\map3_14_32.txt,386,371
instances\map3\map3_14_33.txt,999999
instances\map3\map3_14_34.txt,395,384
instances\map3\map3_14_35.txt,999999
instances\map3\map3_14_36.txt,999999
