map_id,trip durations,trip lengths,runtime[s],duration/len(a*)
instances\experiment2_cbs3\map1_10_1150.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1151.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1152.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1153.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1154.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1155.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1156.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1157.txt,235,234,0.2221494,1.0-1.0-1.0-1.04-1.0-1.0-1.0-1.0434782608695652-1.0-1.0
instances\experiment2_cbs3\map1_10_1158.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1159.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1160.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1161.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1162.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1163.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1164.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1165.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1166.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1167.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1168.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1169.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1170.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1171.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1172.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1173.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1174.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1175.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1176.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1177.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1178.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1179.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1180.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1181.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1182.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1183.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1184.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1185.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1186.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1187.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1188.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1189.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1190.txt,236,235,0.2349796,1.0384615384615385-1.0-1.0454545454545454-1.0-1.0-1.0-1.0-1.0-1.0-1.0
instances\experiment2_cbs3\map1_10_1191.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1192.txt,228,226,1.0668673,1.0-1.0-1.0-1.0-1.0-1.0-1.0909090909090908-1.0416666666666667-1.0-1.0
instances\experiment2_cbs3\map1_10_1193.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1194.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1195.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1196.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1197.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1198.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1199.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1200.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1201.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1202.txt,240,239,0.3790581,1.0416666666666667-1.0-1.0-1.0-1.0-1.0-1.0416666666666667-1.0-1.0-1.0
instances\experiment2_cbs3\map1_10_1203.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1204.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1205.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1206.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1207.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1208.txt,233,231,0.1663374,1.0416666666666667-1.0-1.0-1.0-1.0434782608695652-1.0-1.0-1.0-1.04-1.0
instances\experiment2_cbs3\map1_10_1209.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1210.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1211.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1212.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1213.txt,999999,999999,999999,999999
instances\experiment2_cbs3\map1_10_1214.txt,999999,999999,999999,999999
