map_id,trip durations,trip lengths,runtime[s],duration/len(a*)
instances\experiment2_dis2\map1_10_1150.txt,269,246,0.1700649,1.04-1.0-1.125-1.0-1.3461538461538463-1.08-1.0416666666666667-1.3461538461538463-1.0-1.0416666666666667
instances\experiment2_dis2\map1_10_1151.txt,234,219,0.3391621,1.0-1.1363636363636365-1.2857142857142858-1.0-1.0476190476190477-1.0-1.35-1.0454545454545454-1.0476190476190477-1.0
instances\experiment2_dis2\map1_10_1152.txt,237,235,0.0507967,1.0-1.0-1.0-1.0-1.0-1.0909090909090908-1.0869565217391304-1.0-1.0-1.0
instances\experiment2_dis2\map1_10_1153.txt,261,248,0.0978519,1.0833333333333333-1.1923076923076923-1.3333333333333333-1.0-1.0-1.0-1.1923076923076923-1.0434782608695652-1.0909090909090908-1.0
instances\experiment2_dis2\map1_10_1154.txt,237,230,0.18221,1.0-1.0-1.0454545454545454-1.0-1.0-1.0-1.0714285714285714-1.1428571428571428-1.2-1.0
instances\experiment2_dis2\map1_10_1155.txt,253,243,0.0875733,1.3636363636363635-1.0-1.0454545454545454-1.0-1.0434782608695652-1.3333333333333333-1.0-1.0-1.0454545454545454-1.3461538461538463
instances\experiment2_dis2\map1_10_1156.txt,240,227,0.1624981,1.1304347826086956-1.0-1.35-1.0-1.173913043478261-1.0454545454545454-1.0-1.0-1.125-1.0
instances\experiment2_dis2\map1_10_1157.txt,256,246,0.2602038,1.2727272727272727-1.037037037037037-1.0-1.0769230769230769-1.0384615384615385-1.0-1.3-1.0-1.0869565217391304-1.0
instances\experiment2_dis2\map1_10_1158.txt,276,265,0.2977396,1.0-1.0-1.12-1.0-1.84-1.3478260869565217-1.0-1.1153846153846154-1.25-1.0
instances\experiment2_dis2\map1_10_1159.txt,250,239,0.1443655,1.0-1.037037037037037-1.0454545454545454-1.0-1.0-1.0434782608695652-1.0909090909090908-1.125-1.0-1.2380952380952381
instances\experiment2_dis2\map1_10_1160.txt,246,231,0.2939235,1.2380952380952381-1.1818181818181819-1.1304347826086956-1.0-1.1304347826086956-1.0-1.0-1.263157894736842-1.0454545454545454-1.0833333333333333
instances\experiment2_dis2\map1_10_1161.txt,245,237,0.1504849,1.0-1.0-1.2857142857142858-1.0-1.0769230769230769-1.0-1.0384615384615385-1.05-1.0384615384615385-1.0
instances\experiment2_dis2\map1_10_1162.txt,249,240,0.28319,1.0-1.0-1.0869565217391304-1.1428571428571428-1.0434782608695652-1.0714285714285714-1.0-1.3157894736842106-1.0952380952380953-1.037037037037037
instances\experiment2_dis2\map1_10_1163.txt,256,243,0.1143704,1.0769230769230769-1.2727272727272727-1.0-1.0-1.380952380952381-1.1666666666666667-1.04-1.0-1.0-1.0454545454545454
instances\experiment2_dis2\map1_10_1164.txt,236,232,0.0704062,1.0-1.0-1.0-1.0-1.1578947368421053-1.0454545454545454-1.0-1.0-1.0476190476190477-1.04
instances\experiment2_dis2\map1_10_1165.txt,268,251,0.2981468,1.12-2.0-1.0-1.0454545454545454-1.2-1.0-1.173913043478261-1.2173913043478262-1.1666666666666667-1.0
instances\experiment2_dis2\map1_10_1166.txt,292,275,0.1122796,1.48-1.3333333333333333-1.0476190476190477-1.0357142857142858-1.0-1.0454545454545454-1.3181818181818181-1.2727272727272727-1.4615384615384615-1.0434782608695652
instances\experiment2_dis2\map1_10_1167.txt,243,231,0.0920852,1.0-1.0-1.35-1.0-1.0909090909090908-1.125-1.0-1.0-1.1818181818181819-1.0416666666666667
instances\experiment2_dis2\map1_10_1168.txt,240,236,0.1064162,1.0-1.0416666666666667-1.0-1.0869565217391304-1.0-1.1428571428571428-1.0434782608695652-1.0-1.0-1.0909090909090908
instances\experiment2_dis2\map1_10_1169.txt,255,254,0.0720704,1.0-1.25-1.0-1.0-1.0-1.0740740740740742-1.2142857142857142-1.0-1.0-1.0
instances\experiment2_dis2\map1_10_1170.txt,242,230,0.1440431,1.0434782608695652-1.0-1.0833333333333333-1.0-1.1428571428571428-1.0476190476190477-1.1153846153846154-1.0869565217391304-1.0434782608695652-1.0
instances\experiment2_dis2\map1_10_1171.txt,259,251,0.2643457,1.0-1.1363636363636365-1.08-1.0-1.0-1.04-1.0-1.0-1.1851851851851851-1.2307692307692308
instances\experiment2_dis2\map1_10_1172.txt,245,236,0.2501559,1.05-1.2857142857142858-1.0-1.0-1.1304347826086956-1.0384615384615385-1.0833333333333333-1.0-1.2272727272727273-1.0
instances\experiment2_dis2\map1_10_1173.txt,245,238,0.2203687,1.0384615384615385-1.25-1.0-1.0416666666666667-1.0-1.0-1.0833333333333333-1.0-1.0434782608695652-1.0
instances\experiment2_dis2\map1_10_1174.txt,238,231,0.2065075,1.0454545454545454-1.0-1.0-1.0416666666666667-1.0454545454545454-1.0-1.1428571428571428-1.0454545454545454-1.0-1.2
instances\experiment2_dis2\map1_10_1175.txt,254,246,0.0770897,1.0-1.0-1.25-1.0-1.0869565217391304-1.0454545454545454-1.0952380952380953-1.037037037037037-1.1111111111111112-1.0
instances\experiment2_dis2\map1_10_1176.txt,247,237,0.3400897,1.0869565217391304-1.08-1.1428571428571428-1.1428571428571428-1.1818181818181819-1.0476190476190477-1.1363636363636365-1.0-1.0-1.35
instances\experiment2_dis2\map1_10_1177.txt,241,229,0.2533728,1.0-1.1428571428571428-1.0454545454545454-1.1428571428571428-1.0454545454545454-1.0-1.0-1.1304347826086956-1.0434782608695652-1.3
instances\experiment2_dis2\map1_10_1178.txt,249,234,0.2256933,1.0476190476190477-1.0-1.08-1.0-1.1153846153846154-1.0-1.1818181818181819-1.0-1.173913043478261-1.3
instances\experiment2_dis2\map1_10_1179.txt,260,246,0.2418217,1.0714285714285714-1.0-1.24-1.0476190476190477-1.0-1.0434782608695652-1.0434782608695652-1.2307692307692308-1.24-1.0
instances\experiment2_dis2\map1_10_1180.txt,248,240,0.0503508,1.0-1.0-1.2380952380952381-1.0-1.0-1.0-1.0833333333333333-1.1538461538461537-1.0-1.0
instances\experiment2_dis2\map1_10_1181.txt,254,242,0.1342973,1.0-1.0869565217391304-1.0-1.04-1.0-1.3333333333333333-1.0434782608695652-1.0-1.2083333333333333-1.04
instances\experiment2_dis2\map1_10_1182.txt,243,231,0.4113401,1.08-1.0-1.0384615384615385-1.0909090909090908-1.0-1.0-1.0434782608695652-1.2857142857142858-1.0434782608695652-1.2
instances\experiment2_dis2\map1_10_1183.txt,264,257,0.0616439,1.0-1.0-1.05-1.04-1.0-1.0454545454545454-1.28-1.1904761904761905-1.84-1.0
instances\experiment2_dis2\map1_10_1184.txt,246,241,0.1829555,1.0-1.0-1.0-1.0384615384615385-1.0-1.0416666666666667-1.0434782608695652-1.1363636363636365-1.0434782608695652-1.0434782608695652
instances\experiment2_dis2\map1_10_1185.txt,254,249,0.0924948,1.0-1.1538461538461537-1.0-1.0454545454545454-1.1481481481481481-1.0-1.0384615384615385-1.0-1.1304347826086956-1.2380952380952381
instances\experiment2_dis2\map1_10_1186.txt,275,250,0.1130234,1.2-1.2-1.2608695652173914-1.0-1.04-1.0416666666666667-1.2608695652173914-1.3181818181818181-1.0-1.4285714285714286
instances\experiment2_dis2\map1_10_1187.txt,252,240,0.2269705,1.037037037037037-1.08-1.0-1.125-1.0-1.263157894736842-1.0-1.3333333333333333-1.0-1.173913043478261
instances\experiment2_dis2\map1_10_1188.txt,259,244,0.1166658,1.0869565217391304-1.2857142857142858-1.04-1.0454545454545454-1.2727272727272727-1.04-1.0-1.0-1.2857142857142858-1.0384615384615385
instances\experiment2_dis2\map1_10_1189.txt,242,235,0.09963,1.0434782608695652-1.0909090909090908-1.04-1.0952380952380953-1.0384615384615385-1.0-1.1428571428571428-1.0-1.0-1.0
instances\experiment2_dis2\map1_10_1190.txt,254,234,0.175088,1.2272727272727273-1.2380952380952381-1.0-1.1304347826086956-1.12-1.368421052631579-1.0-1.08-1.04-1.0
instances\experiment2_dis2\map1_10_1191.txt,251,241,0.2047286,1.2-1.16-1.0-1.1538461538461537-1.0-1.037037037037037-1.0-1.0-1.16-1.0
instances\experiment2_dis2\map1_10_1192.txt,231,229,0.0363357,1.0476190476190477-1.0-1.0-1.0476190476190477-1.0-1.0-1.0-1.0-1.0-1.0
instances\experiment2_dis2\map1_10_1193.txt,272,252,0.4825692,1.4-1.2083333333333333-1.08-1.3333333333333333-1.1304347826086956-1.1304347826086956-1.0740740740740742-1.1666666666666667-1.0-1.2727272727272727
instances\experiment2_dis2\map1_10_1194.txt,234,230,0.166592,1.0-1.0-1.0-1.037037037037037-1.0-1.0476190476190477-1.0-1.0-1.0476190476190477-1.0769230769230769
instances\experiment2_dis2\map1_10_1195.txt,261,254,0.1912347,1.375-1.04-1.0-1.0-1.1363636363636365-1.0952380952380953-1.0-1.0-1.0416666666666667-1.1428571428571428
instances\experiment2_dis2\map1_10_1196.txt,315,273,0.264567,1.9-1.44-1.0-1.1428571428571428-1.5909090909090908-1.3333333333333333-1.0-1.4615384615384615-1.4074074074074074-1.1304347826086956
instances\experiment2_dis2\map1_10_1197.txt,250,242,0.0492423,1.04-1.037037037037037-1.0-1.12-1.0-1.0-1.0434782608695652-1.0454545454545454-1.0-1.0416666666666667
instances\experiment2_dis2\map1_10_1198.txt,291,265,0.4421747,1.0344827586206897-1.36-1.0-1.0-1.0416666666666667-1.84-1.0-1.1785714285714286-1.5909090909090908-1.0
instances\experiment2_dis2\map1_10_1199.txt,228,227,0.0783215,1.0-1.0454545454545454-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0
instances\experiment2_dis2\map1_10_1200.txt,235,224,0.0575004,1.0-1.1363636363636365-1.0-1.0-1.125-1.0-1.0952380952380953-1.0-1.1304347826086956-1.2380952380952381
instances\experiment2_dis2\map1_10_1201.txt,262,239,0.2043368,1.1481481481481481-1.35-1.2857142857142858-1.1666666666666667-1.0-1.0-1.0-1.35-1.173913043478261-1.0
instances\experiment2_dis2\map1_10_1202.txt,271,249,0.2990619,1.0-1.2-1.24-1.1818181818181819-1.1481481481481481-1.0-1.2083333333333333-1.380952380952381-1.16-1.0434782608695652
instances\experiment2_dis2\map1_10_1203.txt,223,221,0.051161,1.0-1.0-1.0-1.0-1.0-1.0454545454545454-1.0-1.0434782608695652-1.15-1.0
instances\experiment2_dis2\map1_10_1204.txt,227,224,0.0714378,1.0-1.0-1.0476190476190477-1.0-1.0-1.0434782608695652-1.0476190476190477-1.0-1.0454545454545454-1.0
instances\experiment2_dis2\map1_10_1205.txt,257,243,0.3683067,1.0869565217391304-1.04-1.0434782608695652-1.0740740740740742-1.0416666666666667-1.173913043478261-1.0-1.0-1.0-1.3181818181818181
instances\experiment2_dis2\map1_10_1206.txt,265,244,0.4716137,1.2857142857142858-1.0-1.35-1.125-1.08-1.08-1.1363636363636365-1.2272727272727273-1.0-1.1666666666666667
instances\experiment2_dis2\map1_10_1207.txt,253,243,0.2440329,1.0-1.0-1.04-1.04-1.380952380952381-1.0-1.0-1.0-1.0454545454545454-1.1153846153846154
instances\experiment2_dis2\map1_10_1208.txt,244,237,0.2371948,1.0869565217391304-1.0416666666666667-1.0-1.0-1.0-1.0-1.368421052631579-1.0-1.0416666666666667-1.0
instances\experiment2_dis2\map1_10_1209.txt,284,264,0.3352575,1.0434782608695652-1.5-1.08-1.5-1.2758620689655173-1.0909090909090908-1.3478260869565217-1.1538461538461537-1.0434782608695652-1.0434782608695652
instances\experiment2_dis2\map1_10_1210.txt,248,244,0.1377162,1.0-1.0-1.0476190476190477-1.0769230769230769-1.0-1.1538461538461537-1.0-1.0-1.0909090909090908-1.0769230769230769
instances\experiment2_dis2\map1_10_1211.txt,253,245,0.16329,1.0-1.2727272727272727-1.3636363636363635-1.0-1.0869565217391304-1.0-1.24-1.0-1.0952380952380953-1.04
instances\experiment2_dis2\map1_10_1212.txt,294,258,0.3194001,1.3076923076923077-1.4782608695652173-1.0-1.32-1.0869565217391304-1.4782608695652173-1.0869565217391304-1.0909090909090908-1.1153846153846154-1.4782608695652173
instances\experiment2_dis2\map1_10_1213.txt,251,236,0.1455074,1.04-1.2380952380952381-1.2272727272727273-1.1904761904761905-1.0434782608695652-1.1304347826086956-1.0454545454545454-1.08-1.0-1.0952380952380953
instances\experiment2_dis2\map1_10_1214.txt,268,255,0.1749313,1.1304347826086956-1.2083333333333333-1.0-1.0740740740740742-1.1481481481481481-1.0434782608695652-1.1304347826086956-1.0769230769230769-1.0-1.0
instances\experiment2_dis2\map1_10_1215.txt,240,238,0.0738382,1.0-1.0-1.0454545454545454-1.0-1.0-1.0-1.0-1.0-1.0-1.0454545454545454
instances\experiment2_dis2\map1_10_1216.txt,259,252,0.0845429,1.0384615384615385-1.0-1.0769230769230769-1.0-1.0-1.0-1.0384615384615385-1.25-1.0-1.08
instances\experiment2_dis2\map1_10_1217.txt,230,228,0.0438733,1.0-1.0-1.0416666666666667-1.0-1.0-1.0416666666666667-1.0-1.0-1.0-1.0476190476190477
instances\experiment2_dis2\map1_10_1218.txt,255,240,0.3553383,1.0-1.1363636363636365-1.125-1.08-1.0869565217391304-1.064516129032258-1.1428571428571428-1.1578947368421053-1.0-1.0
instances\experiment2_dis2\map1_10_1219.txt,234,226,0.1595789,1.0454545454545454-1.0-1.04-1.08-1.0-1.0476190476190477-1.3333333333333333-1.0-1.0-1.0476190476190477
instances\experiment2_dis2\map1_10_1220.txt,241,232,0.2052927,1.0-1.0-1.0416666666666667-1.0-1.0-1.0-1.0769230769230769-1.4210526315789473-1.0-1.2380952380952381
instances\experiment2_dis2\map1_10_1221.txt,252,242,0.2388453,1.1481481481481481-1.0434782608695652-1.0-1.0909090909090908-1.0-1.0952380952380953-1.0-1.12-1.1818181818181819-1.1428571428571428
instances\experiment2_dis2\map1_10_1222.txt,242,235,0.109255,1.0476190476190477-1.0-1.25-1.0434782608695652-1.0-1.08-1.0-1.04-1.08-1.0
instances\experiment2_dis2\map1_10_1223.txt,241,235,0.194833,1.1818181818181819-1.0-1.0-1.05-1.0-1.0-1.0-1.0454545454545454-1.0-1.08
instances\experiment2_dis2\map1_10_1224.txt,239,232,0.1884181,1.0-1.0-1.0-1.0454545454545454-1.3157894736842106-1.04-1.0869565217391304-1.2380952380952381-1.0476190476190477-1.0
instances\experiment2_dis2\map1_10_1225.txt,300,281,0.2978168,1.0-1.0-1.05-1.7391304347826086-1.0344827586206897-2.15-1.0769230769230769-1.0-1.9545454545454546-1.0
instances\experiment2_dis2\map1_10_1226.txt,259,232,0.2136101,1.0-1.0-1.3846153846153846-1.5-1.0454545454545454-1.0-1.0-1.0416666666666667-1.0869565217391304-1.1428571428571428
instances\experiment2_dis2\map1_10_1227.txt,252,245,0.210263,1.0-1.0-1.04-1.1304347826086956-1.2173913043478262-1.0769230769230769-1.0384615384615385-1.0-1.0-1.0
instances\experiment2_dis2\map1_10_1228.txt,235,231,0.1322059,1.0-1.0-1.1363636363636365-1.0-1.0-1.0-1.0-1.2272727272727273-1.0-1.0
instances\experiment2_dis2\map1_10_1229.txt,232,229,0.0441403,1.0-1.0-1.0-1.0-1.0476190476190477-1.0-1.04-1.0-1.0-1.04
instances\experiment2_dis2\map1_10_1230.txt,250,246,0.146427,1.0-1.1153846153846154-1.0-1.1428571428571428-1.04-1.0-1.0-1.0-1.0-1.0
instances\experiment2_dis2\map1_10_1231.txt,236,232,0.2128444,1.0-1.0-1.08-1.0434782608695652-1.0-1.0-1.0-1.0-1.0-1.0869565217391304
instances\experiment2_dis2\map1_10_1232.txt,336,320,0.2189718,1.16-1.3181818181818181-2.5384615384615383-1.16-1.0454545454545454-2.52-1.0434782608695652-1.0909090909090908-1.0-1.0
instances\experiment2_dis2\map1_10_1233.txt,244,235,0.2314745,1.037037037037037-1.0-1.0-1.0416666666666667-1.0454545454545454-1.0833333333333333-1.0454545454545454-1.0384615384615385-1.08-1.0
instances\experiment2_dis2\map1_10_1234.txt,999999,999999,999999,999999
instances\experiment2_dis2\map1_10_1235.txt,268,242,0.6489582,1.2692307692307692-1.0384615384615385-1.1481481481481481-1.0-1.2857142857142858-1.0-1.0-1.32-1.2857142857142858-1.0
instances\experiment2_dis2\map1_10_1236.txt,256,240,0.5295073,1.2380952380952381-1.0-1.0-1.0869565217391304-1.0714285714285714-1.0-1.173913043478261-1.0-1.55-1.0
instances\experiment2_dis2\map1_10_1237.txt,234,228,0.1837869,1.0-1.0-1.0-1.0454545454545454-1.0-1.0-1.0869565217391304-1.0454545454545454-1.0-1.08
instances\experiment2_dis2\map1_10_1238.txt,233,224,0.3033176,1.0833333333333333-1.0476190476190477-1.0-1.1818181818181819-1.0909090909090908-1.0-1.0-1.0869565217391304-1.0476190476190477-1.0
instances\experiment2_dis2\map1_10_1239.txt,264,252,0.1942207,1.0833333333333333-1.2857142857142858-1.0-1.1071428571428572-1.0952380952380953-1.0952380952380953-1.3333333333333333-1.0833333333333333-1.0-1.1818181818181819
instances\experiment2_dis2\map1_10_1240.txt,251,241,0.189789,1.0-1.0-1.12-1.2173913043478262-1.0-1.0-1.125-1.0-1.0909090909090908-1.0
instances\experiment2_dis2\map1_10_1241.txt,243,238,0.1469141,1.0-1.0-1.0-1.3636363636363635-1.0-1.0357142857142858-1.0-1.0-1.1538461538461537-1.0416666666666667
instances\experiment2_dis2\map1_10_1242.txt,238,235,0.1011607,1.0909090909090908-1.0434782608695652-1.0434782608695652-1.0-1.0-1.0-1.0-1.0833333333333333-1.0-1.037037037037037
instances\experiment2_dis2\map1_10_1243.txt,251,237,0.1359665,1.0909090909090908-1.0476190476190477-1.0-1.0454545454545454-1.0-1.1153846153846154-1.0-1.173913043478261-1.0-1.380952380952381
instances\experiment2_dis2\map1_10_1244.txt,237,232,0.1392355,1.0-1.1304347826086956-1.1818181818181819-1.0-1.0-1.0-1.0-1.0952380952380953-1.0-1.0833333333333333
instances\experiment2_dis2\map1_10_1245.txt,358,349,0.4067037,1.0-2.608695652173913-1.1538461538461537-1.0-2.739130434782609-1.0-1.0416666666666667-3.0-1.0-1.0
instances\experiment2_dis2\map1_10_1246.txt,261,256,0.3023359,1.0-1.037037037037037-1.28-1.0-1.0-1.28-1.16-1.04-1.0-1.0454545454545454
instances\experiment2_dis2\map1_10_1247.txt,999999,999999,999999,999999
instances\experiment2_dis2\map1_10_1248.txt,267,248,0.2400352,1.0454545454545454-1.4761904761904763-1.0-1.1153846153846154-1.0-1.0-1.1538461538461537-1.3478260869565217-1.25-1.0
instances\experiment2_dis2\map1_10_1249.txt,259,241,0.3642034,1.05-1.037037037037037-1.0434782608695652-1.0-1.55-1.0869565217391304-1.1363636363636365-1.4761904761904763-1.0384615384615385-1.0
instances\experiment2_dis2\map1_10_1250.txt,242,237,0.2319205,1.0-1.0-1.0-1.2272727272727273-1.0-1.0-1.0952380952380953-1.0-1.0-1.0454545454545454
instances\experiment2_dis2\map1_10_1251.txt,255,245,0.162823,1.1538461538461537-1.0-1.3043478260869565-1.0-1.04-1.0909090909090908-1.0-1.0-1.0454545454545454-1.0
instances\experiment2_dis2\map1_10_1252.txt,233,232,0.190696,1.0-1.0-1.0-1.0-1.0434782608695652-1.0-1.0-1.0-1.1428571428571428-1.0
instances\experiment2_dis2\map1_10_1253.txt,244,236,0.0963797,1.0384615384615385-1.04-1.0476190476190477-1.04-1.0-1.0-1.0952380952380953-1.04-1.0-1.0434782608695652
instances\experiment2_dis2\map1_10_1254.txt,255,249,0.1444267,1.1818181818181819-1.0-1.0-1.0-1.0-1.08-1.0-1.0869565217391304-1.0-1.1538461538461537
instances\experiment2_dis2\map1_10_1255.txt,999999,999999,999999,999999
instances\experiment2_dis2\map1_10_1256.txt,237,232,0.0326964,1.0-1.05-1.0833333333333333-1.0-1.0-1.0-1.0-1.0-1.0833333333333333-1.0
instances\experiment2_dis2\map1_10_1257.txt,247,239,0.1781574,1.04-1.0-1.1153846153846154-1.04-1.1304347826086956-1.0476190476190477-1.0-1.0-1.0-1.0
