map_id,trip durations,trip lengths,runtime
instances\experiment\map1_10_0.txt,330,259,0.0184691
instances\experiment\map1_10_1.txt,290,238,0.0161759
instances\experiment\map1_10_10.txt,340,241,0.0278825
instances\experiment\map1_10_100.txt,320,260,0.0332501
instances\experiment\map1_10_101.txt,270,240,0.0311501
instances\experiment\map1_10_102.txt,280,244,0.0265924
instances\experiment\map1_10_103.txt,310,250,0.030203
instances\experiment\map1_10_104.txt,320,253,0.0323269
instances\experiment\map1_10_105.txt,290,243,0.0163534
instances\experiment\map1_10_106.txt,250,225,0.0148137
instances\experiment\map1_10_107.txt,350,251,0.0175179
instances\experiment\map1_10_108.txt,320,254,0.0176477
instances\experiment\map1_10_109.txt,370,270,0.0177915
instances\experiment\map1_10_11.txt,300,246,0.0181478
instances\experiment\map1_10_110.txt,300,231,0.0272727
instances\experiment\map1_10_111.txt,280,234,0.0299311
instances\experiment\map1_10_112.txt,300,251,0.0151339
instances\experiment\map1_10_113.txt,370,267,0.033522
instances\experiment\map1_10_114.txt,290,239,0.0274653
instances\experiment\map1_10_115.txt,250,229,0.0251289
instances\experiment\map1_10_116.txt,300,250,0.0154018
instances\experiment\map1_10_117.txt,260,238,0.0150128
instances\experiment\map1_10_118.txt,340,249,0.0239542
instances\experiment\map1_10_119.txt,300,256,0.0296668
instances\experiment\map1_10_12.txt,270,238,0.0139318
instances\experiment\map1_10_120.txt,270,251,0.0184124
instances\experiment\map1_10_121.txt,360,238,0.0148488
instances\experiment\map1_10_122.txt,330,261,0.0160538
instances\experiment\map1_10_123.txt,340,260,0.0181415
instances\experiment\map1_10_124.txt,320,248,0.0228351
instances\experiment\map1_10_125.txt,310,258,0.0168009
instances\experiment\map1_10_126.txt,390,283,0.021933
instances\experiment\map1_10_127.txt,280,229,0.0140014
instances\experiment\map1_10_128.txt,330,264,0.0176307
instances\experiment\map1_10_129.txt,330,256,0.0220614
instances\experiment\map1_10_13.txt,280,251,0.0147165
instances\experiment\map1_10_130.txt,310,246,0.0261375
instances\experiment\map1_10_131.txt,280,240,0.028691
instances\experiment\map1_10_132.txt,330,253,0.0317454
instances\experiment\map1_10_133.txt,280,251,0.029538
instances\experiment\map1_10_134.txt,350,264,0.0306438
instances\experiment\map1_10_135.txt,320,239,0.0289177
instances\experiment\map1_10_136.txt,280,238,0.017046
instances\experiment\map1_10_137.txt,340,253,0.01717
instances\experiment\map1_10_138.txt,270,228,0.0159542
instances\experiment\map1_10_139.txt,330,259,0.0200447
instances\experiment\map1_10_14.txt,310,245,0.0145908
instances\experiment\map1_10_140.txt,330,249,0.0166588
instances\experiment\map1_10_141.txt,330,244,0.0171403
instances\experiment\map1_10_142.txt,310,256,0.0155044
instances\experiment\map1_10_143.txt,280,237,0.0161515
instances\experiment\map1_10_144.txt,270,228,0.0137255
instances\experiment\map1_10_145.txt,320,263,0.0177208
instances\experiment\map1_10_146.txt,490,275,0.0317582
instances\experiment\map1_10_147.txt,290,243,0.0309933
instances\experiment\map1_10_148.txt,340,261,0.0166637
instances\experiment\map1_10_149.txt,440,277,0.01913
instances\experiment\map1_10_15.txt,999999,999999,999999
instances\experiment\map1_10_150.txt,280,244,0.0264971
instances\experiment\map1_10_151.txt,320,245,0.0278288
instances\experiment\map1_10_152.txt,330,247,0.0320948
instances\experiment\map1_10_153.txt,320,250,0.0281995
instances\experiment\map1_10_154.txt,320,256,0.0302687
instances\experiment\map1_10_155.txt,280,243,0.0180174
instances\experiment\map1_10_156.txt,400,271,0.0221663
instances\experiment\map1_10_157.txt,830,352,0.0389027
instances\experiment\map1_10_158.txt,270,243,0.0128447
instances\experiment\map1_10_159.txt,320,259,0.0234097
instances\experiment\map1_10_16.txt,290,241,0.0159683
instances\experiment\map1_10_160.txt,999999,999999,999999
instances\experiment\map1_10_161.txt,350,274,0.0212057
instances\experiment\map1_10_162.txt,290,246,0.016611
instances\experiment\map1_10_163.txt,999999,999999,999999
instances\experiment\map1_10_164.txt,340,250,0.0165952
instances\experiment\map1_10_165.txt,280,253,0.0323358
instances\experiment\map1_10_166.txt,360,276,0.0338412
instances\experiment\map1_10_167.txt,280,251,0.0318993
instances\experiment\map1_10_168.txt,270,245,0.0268817
instances\experiment\map1_10_169.txt,290,235,0.0285135
instances\experiment\map1_10_17.txt,280,238,0.0256173
instances\experiment\map1_10_170.txt,260,234,0.0173839
instances\experiment\map1_10_171.txt,280,235,0.0187173
instances\experiment\map1_10_172.txt,999999,999999,999999
instances\experiment\map1_10_173.txt,250,233,0.0150624
instances\experiment\map1_10_174.txt,520,329,0.0368599
instances\experiment\map1_10_175.txt,740,331,0.0315225
instances\experiment\map1_10_176.txt,270,239,0.028876
instances\experiment\map1_10_177.txt,300,258,0.0167151
instances\experiment\map1_10_178.txt,999999,999999,999999
instances\experiment\map1_10_179.txt,290,238,0.0275445
instances\experiment\map1_10_18.txt,340,244,0.0285761
instances\experiment\map1_10_180.txt,290,251,0.0311211
instances\experiment\map1_10_181.txt,1460,427,0.0807602
instances\experiment\map1_10_182.txt,310,242,0.0316833
instances\experiment\map1_10_183.txt,290,243,0.0237127
instances\experiment\map1_10_184.txt,440,274,0.0437835
instances\experiment\map1_10_185.txt,280,240,0.0258912
instances\experiment\map1_10_186.txt,340,263,0.0288628
instances\experiment\map1_10_187.txt,310,249,0.023547
instances\experiment\map1_10_188.txt,300,245,0.0213801
instances\experiment\map1_10_189.txt,300,242,0.0152373
instances\experiment\map1_10_19.txt,430,254,0.0207986
instances\experiment\map1_10_190.txt,290,242,0.0176964
instances\experiment\map1_10_191.txt,720,362,0.0249773
instances\experiment\map1_10_192.txt,270,245,0.0132051
instances\experiment\map1_10_193.txt,330,262,0.0180936
instances\experiment\map1_10_194.txt,999999,999999,999999
instances\experiment\map1_10_195.txt,830,389,0.029193
instances\experiment\map1_10_196.txt,280,248,0.0135572
instances\experiment\map1_10_197.txt,310,247,0.0149312
instances\experiment\map1_10_198.txt,330,241,0.0162586
instances\experiment\map1_10_199.txt,290,236,0.0141834
instances\experiment\map1_10_2.txt,290,254,0.0148412
instances\experiment\map1_10_20.txt,340,261,0.0149732
instances\experiment\map1_10_200.txt,340,258,0.0177912
instances\experiment\map1_10_201.txt,320,254,0.0151951
instances\experiment\map1_10_202.txt,310,244,0.014717
instances\experiment\map1_10_203.txt,320,253,0.016998
instances\experiment\map1_10_204.txt,999999,999999,999999
instances\experiment\map1_10_205.txt,270,236,0.0167492
instances\experiment\map1_10_206.txt,280,237,0.0159684
instances\experiment\map1_10_207.txt,260,225,0.0124798
instances\experiment\map1_10_208.txt,280,240,0.0144756
instances\experiment\map1_10_209.txt,260,221,0.0124206
instances\experiment\map1_10_21.txt,350,251,0.0207975
instances\experiment\map1_10_210.txt,300,244,0.0227763
instances\experiment\map1_10_211.txt,270,240,0.0148572
instances\experiment\map1_10_212.txt,280,239,0.0137561
instances\experiment\map1_10_213.txt,300,248,0.0189631
instances\experiment\map1_10_214.txt,340,251,0.0216379
instances\experiment\map1_10_215.txt,280,237,0.0208835
instances\experiment\map1_10_216.txt,320,250,0.0232824
instances\experiment\map1_10_217.txt,370,277,0.0244765
instances\experiment\map1_10_218.txt,380,241,0.0194879
instances\experiment\map1_10_219.txt,280,230,0.0181178
instances\experiment\map1_10_22.txt,490,295,0.0187488
instances\experiment\map1_10_220.txt,280,234,0.0160785
instances\experiment\map1_10_221.txt,300,249,0.0144035
instances\experiment\map1_10_222.txt,999999,999999,999999
instances\experiment\map1_10_223.txt,270,238,0.0133291
instances\experiment\map1_10_224.txt,290,244,0.0154257
instances\experiment\map1_10_225.txt,280,246,0.022052
instances\experiment\map1_10_226.txt,270,237,0.0216587
instances\experiment\map1_10_227.txt,250,224,0.0138671
instances\experiment\map1_10_228.txt,280,236,0.0153339
instances\experiment\map1_10_229.txt,260,236,0.0162302
instances\experiment\map1_10_23.txt,290,248,0.0177499
instances\experiment\map1_10_230.txt,320,247,0.0196608
instances\experiment\map1_10_231.txt,300,247,0.0282534
instances\experiment\map1_10_232.txt,320,242,0.0192327
instances\experiment\map1_10_233.txt,340,260,0.0313517
instances\experiment\map1_10_234.txt,390,273,0.0303625
instances\experiment\map1_10_235.txt,280,237,0.0290235
instances\experiment\map1_10_236.txt,370,284,0.0393714
instances\experiment\map1_10_237.txt,280,244,0.0306034
instances\experiment\map1_10_238.txt,320,249,0.041047
instances\experiment\map1_10_239.txt,320,247,0.0327648
instances\experiment\map1_10_24.txt,370,258,0.0329959
instances\experiment\map1_10_240.txt,460,284,0.031695
instances\experiment\map1_10_241.txt,360,266,0.03806
instances\experiment\map1_10_242.txt,280,250,0.0297295
instances\experiment\map1_10_243.txt,300,238,0.0284261
instances\experiment\map1_10_244.txt,310,239,0.0336974
instances\experiment\map1_10_245.txt,270,244,0.016449
instances\experiment\map1_10_246.txt,280,237,0.0161961
instances\experiment\map1_10_247.txt,999999,999999,999999
instances\experiment\map1_10_248.txt,999999,999999,999999
instances\experiment\map1_10_249.txt,360,252,0.0193481
instances\experiment\map1_10_25.txt,320,250,0.0189511
instances\experiment\map1_10_250.txt,280,240,0.0277142
instances\experiment\map1_10_251.txt,340,255,0.0318987
instances\experiment\map1_10_252.txt,260,230,0.029175
instances\experiment\map1_10_253.txt,370,245,0.0346216
instances\experiment\map1_10_254.txt,340,243,0.0281657
instances\experiment\map1_10_255.txt,420,282,0.0180129
instances\experiment\map1_10_256.txt,999999,999999,999999
instances\experiment\map1_10_257.txt,290,245,0.0130673
instances\experiment\map1_10_258.txt,280,248,0.0149849
instances\experiment\map1_10_259.txt,410,275,0.0316578
instances\experiment\map1_10_26.txt,320,258,0.0327305
instances\experiment\map1_10_260.txt,350,250,0.030964
instances\experiment\map1_10_261.txt,999999,999999,999999
instances\experiment\map1_10_262.txt,280,238,0.0246974
instances\experiment\map1_10_263.txt,300,239,0.0263442
instances\experiment\map1_10_264.txt,280,233,0.0257104
instances\experiment\map1_10_265.txt,999999,999999,999999
instances\experiment\map1_10_266.txt,630,334,0.0392778
instances\experiment\map1_10_267.txt,270,244,0.0255156
instances\experiment\map1_10_268.txt,310,245,0.0200756
instances\experiment\map1_10_269.txt,310,259,0.0375532
instances\experiment\map1_10_27.txt,350,245,0.0177993
instances\experiment\map1_10_270.txt,270,237,0.0125102
instances\experiment\map1_10_271.txt,420,265,0.0181566
instances\experiment\map1_10_272.txt,999999,999999,999999
instances\experiment\map1_10_273.txt,320,252,0.0170445
instances\experiment\map1_10_274.txt,300,243,0.0163131
instances\experiment\map1_10_275.txt,280,239,0.0161602
