map_id,trip durations,trip lengths,runtime[s],duration/len(a*)
instances\experiment2_prio\map1_10_1000.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1001.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1002.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1003.txt,239,237,0.0446959,1.0-1.0-1.0-1.0-1.0357142857142858-1.0-1.0-1.0833333333333333-1.0-1.0
instances\experiment2_prio\map1_10_1004.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1005.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1006.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1007.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1008.txt,243,240,0.0537635,1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.08-1.1304347826086956-1.04
instances\experiment2_prio\map1_10_1009.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1010.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1011.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1012.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1013.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1014.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1015.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1016.txt,241,235,0.0488073,1.0-1.0-1.0-1.0416666666666667-1.0-1.0-1.0952380952380953-1.0-1.0476190476190477-1.1363636363636365
instances\experiment2_prio\map1_10_1017.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1018.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1019.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1020.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1021.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1022.txt,235,233,0.0206379,1.0-1.0-1.0-1.0-1.0-1.0-1.0454545454545454-1.0-1.0434782608695652-1.0
instances\experiment2_prio\map1_10_1023.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1024.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1025.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1026.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1027.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1028.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1029.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1030.txt,242,237,0.0711914,1.0-1.0-1.0-1.0-1.0-1.0434782608695652-1.0476190476190477-1.0-1.0384615384615385-1.0869565217391304
instances\experiment2_prio\map1_10_1031.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1032.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1033.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1034.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1035.txt,236,231,0.0622554,1.0-1.0-1.0-1.0869565217391304-1.0434782608695652-1.0-1.0-1.0434782608695652-1.0-1.0833333333333333
instances\experiment2_prio\map1_10_1036.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1037.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1038.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1039.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1040.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1041.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1042.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1043.txt,238,236,0.0207622,1.0-1.0-1.0-1.0476190476190477-1.0416666666666667-1.037037037037037-1.0-1.0-1.0-1.0
instances\experiment2_prio\map1_10_1044.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1045.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1046.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1047.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1048.txt,252,250,0.0944931,1.0-1.0-1.0-1.0-1.037037037037037-1.0952380952380953-1.037037037037037-1.0-1.08-1.037037037037037
instances\experiment2_prio\map1_10_1049.txt,236,231,0.1414357,1.0-1.0-1.0-1.0-1.0-1.04-1.0-1.0-1.25-1.0476190476190477
instances\experiment2_prio\map1_10_1050.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1051.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1052.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1053.txt,252,242,0.0818961,1.0-1.0-1.0-1.0909090909090908-1.08-1.0-1.0769230769230769-1.1304347826086956-1.0-1.0833333333333333
instances\experiment2_prio\map1_10_1054.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1055.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1056.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1057.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1058.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1059.txt,233,231,0.0899746,1.0-1.0-1.0-1.0-1.0-1.0909090909090908-1.0-1.0-1.0-1.0416666666666667
instances\experiment2_prio\map1_10_1060.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1061.txt,236,234,0.021731,1.0-1.0-1.0-1.0-1.0-1.0-1.0454545454545454-1.037037037037037-1.0454545454545454-1.0
instances\experiment2_prio\map1_10_1062.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1063.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1064.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1065.txt,242,237,0.0478659,1.0-1.0-1.0-1.0476190476190477-1.0434782608695652-1.0-1.0-1.0-1.08-1.0416666666666667
instances\experiment2_prio\map1_10_1066.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1067.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1068.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1069.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1070.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1071.txt,229,227,0.0380673,1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0454545454545454-1.05-1.0909090909090908
instances\experiment2_prio\map1_10_1072.txt,247,245,0.0351798,1.0-1.0-1.0-1.0476190476190477-1.0-1.0-1.0-1.0-1.0740740740740742-1.0
instances\experiment2_prio\map1_10_1073.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1074.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1075.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1076.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1077.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1078.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1079.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1080.txt,258,252,0.0938858,1.0-1.0-1.0-1.0833333333333333-1.0416666666666667-1.1153846153846154-1.0-1.0-1.1304347826086956-1.08
instances\experiment2_prio\map1_10_1081.txt,230,228,0.0668836,1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0909090909090908-1.0
instances\experiment2_prio\map1_10_1082.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1083.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1084.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1085.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1086.txt,247,244,0.046838,1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.1428571428571428-1.0909090909090908-1.2173913043478262
instances\experiment2_prio\map1_10_1087.txt,241,235,0.0383652,1.0-1.0-1.0454545454545454-1.0-1.0-1.037037037037037-1.05-1.0909090909090908-1.0454545454545454-1.1363636363636365
instances\experiment2_prio\map1_10_1088.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1089.txt,251,249,0.0511672,1.0-1.0-1.0-1.0416666666666667-1.0-1.0-1.0416666666666667-1.0434782608695652-1.0-1.0
instances\experiment2_prio\map1_10_1090.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1091.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1092.txt,999999,999999,999999,999999
